id	rel_path	trace_label	first_index	owner	expected	actual	category	reason
bevy	crates/bevy_pbr/src/transmission/transmission.wgsl	bevy.124.transmission	3312	fn:specular_transmissive_light	identifier:_e50	identifier:_e51	expression-temp-index-order	first divergent byte is generated expression temporary numbering in specular_transmissive_light
bevy	crates/bevy_pbr/src/volumetric_fog/volumetric_fog.wgsl	bevy.125.volumetric_fog	10008	fn:fetch_spot_shadow_without_normal	identifier:_e61	identifier:_e62	expression-temp-index-order	first divergent byte is generated expression temporary numbering in fetch_spot_shadow_without_normal
bevy	crates/bevy_sprite_render/src/sprite_mesh/sprite_material.wgsl	bevy.143.sprite_material	1344	fn:apply_slicing	identifier:_e92	identifier:_e90	expression-temp-index-order	first divergent byte is generated expression temporary numbering in apply_slicing
